f 1m 1f 2m 2f jL0201m jL0201f jV0100m jV0100f 
3003.7 1 -5.04272e-20 2.80754e-09 180 5.29863e-05 90 1 179.997
3013.71 1 1.25878e-19 2.78893e-09 -180 5.28103e-05 90 1 179.997
3023.72 1 7.10909e-20 2.77049e-09 180 5.26355e-05 90 1 179.997
3033.73 1 2.21804e-20 2.75224e-09 -180 5.24618e-05 90 1 179.997
3043.74 1 1.25689e-19 2.73417e-09 -180 5.22893e-05 90 1 179.997
3053.75 1 1.55263e-19 2.71628e-09 180 5.21179e-05 90 1 179.997
3063.76 1 -5.13751e-20 2.69856e-09 -180 5.19476e-05 90 1 179.997
3073.77 1 6.04747e-20 2.68101e-09 180 5.17785e-05 90 1 179.997
3083.77 1 1.70618e-21 2.66364e-09 -180 5.16104e-05 90 1 179.997
3093.78 1 -1.81993e-20 2.64643e-09 -180 5.14435e-05 90 1 179.997
3103.79 1 1.49386e-19 2.62939e-09 180 5.12776e-05 90 1 179.997
3113.8 1 8.36029e-20 2.61251e-09 -180 5.11127e-05 90 1 179.997
3123.81 1 1.52609e-19 2.5958e-09 180 5.0949e-05 90 1 179.997
3133.82 1 8.91006e-21 2.57924e-09 180 5.07862e-05 90 1 179.997
3143.83 1 -4.68252e-20 2.56285e-09 180 5.06246e-05 90 1 179.997
3153.84 1 -4.36024e-20 2.5466e-09 180 5.04639e-05 90 1 179.997
3163.85 1 -9.1186e-20 2.53052e-09 180 5.03043e-05 90 1 179.997
3173.86 1 8.15176e-20 2.51458e-09 -180 5.01456e-05 90 1 179.997
3183.86 1 -5.9906e-20 2.4988e-09 180 4.9988e-05 90 1 179.997
3193.87 1 -3.4882e-20 2.48316e-09 180 4.98313e-05 90 1 179.997
3203.88 1 1.01802e-19 2.46767e-09 -180 4.96756e-05 90 1 179.997
3213.89 1 -1.42751e-19 2.45232e-09 180 4.95209e-05 90 1 179.997
3223.9 1 1.33082e-19 2.43712e-09 -180 4.93672e-05 90 1 179.997
3233.91 1 1.22087e-19 2.42206e-09 -180 4.92144e-05 90 1 179.997
3243.92 1 -1.24172e-19 2.40713e-09 180 4.90626e-05 90 1 179.997
3253.93 1 1.4313e-19 2.39235e-09 -180 4.89116e-05 90 1 179.997
3263.94 1 -1.27774e-19 2.3777e-09 -180 4.87616e-05 90 1 179.997
3273.95 1 1.01044e-19 2.36318e-09 -180 4.86126e-05 90 1 179.997
3283.95 1 -1.67964e-19 2.3488e-09 180 4.84644e-05 90 1 179.997
3293.96 1 1.48248e-19 2.33455e-09 180 4.83171e-05 90 1 179.997
3303.97 1 -1.40855e-19 2.32042e-09 180 4.81708e-05 90 1 179.997
3313.98 1 -7.05222e-20 2.30643e-09 -180 4.80253e-05 90 1 179.997
3323.99 1 4.18963e-20 2.29256e-09 -180 4.78807e-05 90 1 179.997
3334 1 -1.35357e-19 2.27882e-09 -180 4.77369e-05 90 1 179.997
3344.01 1 1.89765e-19 2.26519e-09 -180 4.75941e-05 90 1 179.997
3354.02 1 -1.27016e-20 2.25169e-09 180 4.7452e-05 90 1 179.997
3364.03 1 -1.27016e-20 2.23832e-09 -180 4.73108e-05 90 1 179.997
3374.04 1 8.66362e-20 2.22506e-09 180 4.71705e-05 90 1 179.997
3384.05 1 -9.47879e-20 2.21191e-09 180 4.7031e-05 90 1 179.997
